ID,subject,activityType_code,dueDate,status_code,priority_code,relatedLead_ID,relatedDeal_ID,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
ac50e8400-e29b-41d4-a716-446655440018,Post-demo follow-up,TASK,2024-02-18,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440018,,880e8400-e29b-41d4-a716-446655440018,2024-01-15T08:17:00Z,system,2024-01-15T08:17:00Z,system
ac50e8400-e29b-41d4-a716-446655440019,Renewal discussion,CALL,2024-02-19,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440019,880e8400-e29b-41d4-a716-446655440019,2024-01-15T08:18:00Z,system,2024-01-15T08:18:00Z,system
ac50e8400-e29b-41d4-a716-446655440020,Account review meeting,MEETING,2024-02-20,COMPLETED,MEDIUM,,d40e8400-e29b-41d4-a716-446655440020,880e8400-e29b-41d4-a716-446655440020,2024-01-15T08:19:00Z,system,2024-01-15T08:19:00Z,system
ac50e8400-e29b-41d4-a716-446655440021,Lead nurture email,TASK,2024-02-21,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440021,,880e8400-e29b-41d4-a716-446655440021,2024-01-15T08:20:00Z,system,2024-01-15T08:20:00Z,system
ac50e8400-e29b-41d4-a716-446655440022,Introductory call,CALL,2024-02-22,OPEN,MEDIUM,c10e8400-e29b-41d4-a716-446655440022,,880e8400-e29b-41d4-a716-446655440022,2024-01-15T08:21:00Z,system,2024-01-15T08:21:00Z,system
ac50e8400-e29b-41d4-a716-446655440023,Proposal review meeting,MEETING,2024-02-23,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440023,880e8400-e29b-41d4-a716-446655440023,2024-01-15T08:22:00Z,system,2024-01-15T08:22:00Z,system
ac50e8400-e29b-41d4-a716-446655440024,Reminder task,TASK,2024-02-24,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440024,,880e8400-e29b-41d4-a716-446655440024,2024-01-15T08:23:00Z,system,2024-01-15T08:23:00Z,system
ac50e8400-e29b-41d4-a716-446655440025,Contract signing meeting,MEETING,2024-02-25,COMPLETED,HIGH,,d40e8400-e29b-41d4-a716-446655440025,880e8400-e29b-41d4-a716-446655440025,2024-01-15T08:24:00Z,system,2024-01-15T08:24:00Z,system
ac50e8400-e29b-41d4-a716-446655440026,Sales pipeline update,TASK,2024-02-26,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440026,880e8400-e29b-41d4-a716-446655440026,2024-01-15T08:25:00Z,system,2024-01-15T08:25:00Z,system
ac50e8400-e29b-41d4-a716-446655440027,Customer check-in call,CALL,2024-02-27,COMPLETED,MEDIUM,,d40e8400-e29b-41d4-a716-446655440027,880e8400-e29b-41d4-a716-446655440027,2024-01-15T08:26:00Z,system,2024-01-15T08:26:00Z,system
ac50e8400-e29b-41d4-a716-446655440028,Lead qualification task,TASK,2024-02-28,OPEN,HIGH,c10e8400-e29b-41d4-a716-446655440028,,880e8400-e29b-41d4-a716-446655440028,2024-01-15T08:27:00Z,system,2024-01-15T08:27:00Z,system
ac50e8400-e29b-41d4-a716-446655440029,Deal progress call,CALL,2024-02-29,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440029,880e8400-e29b-41d4-a716-446655440029,2024-01-15T08:28:00Z,system,2024-01-15T08:28:00Z,system
ac50e8400-e29b-41d4-a716-446655440030,Quarterly review meeting,MEETING,2024-03-01,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440030,880e8400-e29b-41d4-a716-446655440030,2024-01-15T08:29:00Z,system,2024-01-15T08:29:00Z,system
ac50e8400-e29b-41d4-a716-446655440031,Follow-up task,TASK,2024-03-02,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440031,,880e8400-e29b-41d4-a716-446655440031,2024-01-15T08:30:00Z,system,2024-01-15T08:30:00Z,system
ac50e8400-e29b-41d4-a716-446655440032,Discovery call,CALL,2024-03-03,COMPLETED,HIGH,c10e8400-e29b-41d4-a716-446655440032,,880e8400-e29b-41d4-a716-446655440032,2024-01-15T08:31:00Z,system,2024-01-15T08:31:00Z,system
ac50e8400-e29b-41d4-a716-446655440033,Proposal preparation,TASK,2024-03-04,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440033,880e8400-e29b-41d4-a716-446655440033,2024-01-15T08:32:00Z,system,2024-01-15T08:32:00Z,system
ac50e8400-e29b-41d4-a716-446655440034,Executive meeting,MEETING,2024-03-05,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440034,880e8400-e29b-41d4-a716-446655440034,2024-01-15T08:33:00Z,system,2024-01-15T08:33:00Z,system
ac50e8400-e29b-41d4-a716-446655440035,Cold outreach call,CALL,2024-03-06,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440035,,880e8400-e29b-41d4-a716-446655440035,2024-01-15T08:34:00Z,system,2024-01-15T08:34:00Z,system
ac50e8400-e29b-41d4-a716-446655440036,Account planning,TASK,2024-03-07,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440036,880e8400-e29b-41d4-a716-446655440036,2024-01-15T08:35:00Z,system,2024-01-15T08:35:00Z,system
ac50e8400-e29b-41d4-a716-446655440037,Stakeholder meeting,MEETING,2024-03-08,COMPLETED,HIGH,,d40e8400-e29b-41d4-a716-446655440037,880e8400-e29b-41d4-a716-446655440037,2024-01-15T08:36:00Z,system,2024-01-15T08:36:00Z,system
ac50e8400-e29b-41d4-a716-446655440038,Status update email,TASK,2024-03-09,OPEN,LOW,,d40e8400-e29b-41d4-a716-446655440038,880e8400-e29b-41d4-a716-446655440038,2024-01-15T08:37:00Z,system,2024-01-15T08:37:00Z,system
ac50e8400-e29b-41d4-a716-446655440039,Escalation call,CALL,2024-03-10,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440039,880e8400-e29b-41d4-a716-446655440039,2024-01-15T08:38:00Z,system,2024-01-15T08:38:00Z,system
ac50e8400-e29b-41d4-a716-446655440040,Deal closure review,MEETING,2024-03-11,COMPLETED,HIGH,,d40e8400-e29b-41d4-a716-446655440040,880e8400-e29b-41d4-a716-446655440040,2024-01-15T08:39:00Z,system,2024-01-15T08:39:00Z,system
ac50e8400-e29b-41d4-a716-446655440041,Lead follow-up task,TASK,2024-03-12,OPEN,MEDIUM,c10e8400-e29b-41d4-a716-446655440041,,880e8400-e29b-41d4-a716-446655440041,2024-01-15T08:40:00Z,system,2024-01-15T08:40:00Z,system
ac50e8400-e29b-41d4-a716-446655440042,Introductory meeting,MEETING,2024-03-13,OPEN,MEDIUM,c10e8400-e29b-41d4-a716-446655440042,,880e8400-e29b-41d4-a716-446655440042,2024-01-15T08:41:00Z,system,2024-01-15T08:41:00Z,system
ac50e8400-e29b-41d4-a716-446655440043,Follow-up call,CALL,2024-03-14,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440043,880e8400-e29b-41d4-a716-446655440043,2024-01-15T08:42:00Z,system,2024-01-15T08:42:00Z,system
ac50e8400-e29b-41d4-a716-446655440044,Proposal finalization,TASK,2024-03-15,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440044,880e8400-e29b-41d4-a716-446655440044,2024-01-15T08:43:00Z,system,2024-01-15T08:43:00Z,system
ac50e8400-e29b-41d4-a716-446655440045,Client workshop,MEETING,2024-03-16,COMPLETED,HIGH,,d40e8400-e29b-41d4-a716-446655440045,880e8400-e29b-41d4-a716-446655440045,2024-01-15T08:44:00Z,system,2024-01-15T08:44:00Z,system
ac50e8400-e29b-41d4-a716-446655440046,Reminder email,TASK,2024-03-17,OPEN,LOW,c10e8400-e29b-41d4-a716-446655440046,,880e8400-e29b-41d4-a716-446655440046,2024-01-15T08:45:00Z,system,2024-01-15T08:45:00Z,system
ac50e8400-e29b-41d4-a716-446655440047,Customer success call,CALL,2024-03-18,COMPLETED,MEDIUM,,d40e8400-e29b-41d4-a716-446655440047,880e8400-e29b-41d4-a716-446655440047,2024-01-15T08:46:00Z,system,2024-01-15T08:46:00Z,system
ac50e8400-e29b-41d4-a716-446655440048,Pipeline analysis,TASK,2024-03-19,OPEN,MEDIUM,,d40e8400-e29b-41d4-a716-446655440048,880e8400-e29b-41d4-a716-446655440048,2024-01-15T08:47:00Z,system,2024-01-15T08:47:00Z,system
ac50e8400-e29b-41d4-a716-446655440049,Final negotiation,CALL,2024-03-20,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440049,880e8400-e29b-41d4-a716-446655440049,2024-01-15T08:48:00Z,system,2024-01-15T08:48:00Z,system
ac50e8400-e29b-41d4-a716-446655440050,Deal kickoff meeting,MEETING,2024-03-21,OPEN,HIGH,,d40e8400-e29b-41d4-a716-446655440050,880e8400-e29b-41d4-a716-446655440050,2024-01-15T08:49:00Z,system,2024-01-15T08:49:00Z,system
