ID,productName,productCode,unitPrice,description,vendor_ID,active,createdAt,createdBy,modifiedAt,modifiedBy
pr80e8400-e29b-41d4-a716-446655440030,Knowledge Base,KB-MOD,2499.00,Internal knowledge base module,vn90e8400-e29b-41d4-a716-446655440030,true,2024-01-10T08:29:00Z,system,2024-01-10T08:29:00Z,system
pr80e8400-e29b-41d4-a716-446655440031,Customer Portal,CP-PORT,6999.00,Self service customer portal,vn90e8400-e29b-41d4-a716-446655440031,true,2024-01-10T08:30:00Z,system,2024-01-10T08:30:00Z,system
pr80e8400-e29b-41d4-a716-446655440032,Mobile Push Notifications,MP-NOTIF,1199.00,Mobile push notification service,vn90e8400-e29b-41d4-a716-446655440032,true,2024-01-10T08:31:00Z,system,2024-01-10T08:31:00Z,system
pr80e8400-e29b-41d4-a716-446655440033,Advanced Permissions,AP-MOD,3299.00,Granular permission management,vn90e8400-e29b-41d4-a716-446655440033,true,2024-01-10T08:32:00Z,system,2024-01-10T08:32:00Z,system
pr80e8400-e29b-41d4-a716-446655440034,Data Export Tool,DE-TOOL,999.00,Bulk data export utility,vn90e8400-e29b-41d4-a716-446655440034,true,2024-01-10T08:33:00Z,system,2024-01-10T08:33:00Z,system
pr80e8400-e29b-41d4-a716-446655440035,User Training Pack,UT-PACK,1999.00,Training and onboarding materials,vn90e8400-e29b-41d4-a716-446655440035,true,2024-01-10T08:34:00Z,system,2024-01-10T08:34:00Z,system
pr80e8400-e29b-41d4-a716-446655440036,Marketplace Connector,MC-CON,5499.00,Marketplace integration connector,vn90e8400-e29b-41d4-a716-446655440036,true,2024-01-10T08:35:00Z,system,2024-01-10T08:35:00Z,system
pr80e8400-e29b-41d4-a716-446655440037,Custom Branding,CB-MOD,2999.00,Custom UI branding options,vn90e8400-e29b-41d4-a716-446655440037,true,2024-01-10T08:36:00Z,system,2024-01-10T08:36:00Z,system
pr80e8400-e29b-41d4-a716-446655440038,Compliance Toolkit,CT-TOOL,6499.00,Compliance and regulatory toolkit,vn90e8400-e29b-41d4-a716-446655440038,true,2024-01-10T08:37:00Z,system,2024-01-10T08:37:00Z,system
pr80e8400-e29b-41d4-a716-446655440039,Survey Builder,SB-MOD,2199.00,Customer survey builder,vn90e8400-e29b-41d4-a716-446655440039,true,2024-01-10T08:38:00Z,system,2024-01-10T08:38:00Z,system
pr80e8400-e29b-41d4-a716-446655440040,Revenue Attribution,RA-MOD,7999.00,Revenue attribution analytics,vn90e8400-e29b-41d4-a716-446655440040,true,2024-01-10T08:39:00Z,system,2024-01-10T08:39:00Z,system
pr80e8400-e29b-41d4-a716-446655440041,Opportunity Scoring,OS-MOD,4899.00,Opportunity scoring engine,vn90e8400-e29b-41d4-a716-446655440041,true,2024-01-10T08:40:00Z,system,2024-01-10T08:40:00Z,system
pr80e8400-e29b-41d4-a716-446655440042,Quote Builder,QB-MOD,3599.00,Quotation builder module,vn90e8400-e29b-41d4-a716-446655440042,true,2024-01-10T08:41:00Z,system,2024-01-10T08:41:00Z,system
pr80e8400-e29b-41d4-a716-446655440043,Invoice Generator,IG-MOD,2799.00,Invoice generation tool,vn90e8400-e29b-41d4-a716-446655440043,true,2024-01-10T08:42:00Z,system,2024-01-10T08:42:00Z,system
pr80e8400-e29b-41d4-a716-446655440044,Tax Calculation Engine,TC-ENG,3999.00,Automated tax calculation engine,vn90e8400-e29b-41d4-a716-446655440044,true,2024-01-10T08:43:00Z,system,2024-01-10T08:43:00Z,system
pr80e8400-e29b-41d4-a716-446655440045,Multi Currency Support,MC-SUP,1899.00,Multi currency transaction support,vn90e8400-e29b-41d4-a716-446655440045,true,2024-01-10T08:44:00Z,system,2024-01-10T08:44:00Z,system
pr80e8400-e29b-41d4-a716-446655440046,Approval Workflow,AW-MOD,4699.00,Approval workflow engine,vn90e8400-e29b-41d4-a716-446655440046,true,2024-01-10T08:45:00Z,system,2024-01-10T08:45:00Z,system
pr80e8400-e29b-41d4-a716-446655440047,Data Masking Tool,DM-TOOL,2599.00,Data masking and privacy tool,vn90e8400-e29b-41d4-a716-446655440047,true,2024-01-10T08:46:00Z,system,2024-01-10T08:46:00Z,system
pr80e8400-e29b-41d4-a716-446655440048,Search Optimization,SO-MOD,3299.00,Search performance optimization,vn90e8400-e29b-41d4-a716-446655440048,true,2024-01-10T08:47:00Z,system,2024-01-10T08:47:00Z,system
pr80e8400-e29b-41d4-a716-446655440049,Email Deliverability,ED-TOOL,2799.00,Email deliverability optimization,vn90e8400-e29b-41d4-a716-446655440049,true,2024-01-10T08:48:00Z,system,2024-01-10T08:48:00Z,system
pr80e8400-e29b-41d4-a716-446655440050,AI Chatbot,AI-CHAT,11999.00,AI powered chatbot integration,vn90e8400-e29b-41d4-a716-446655440050,true,2024-01-10T08:49:00Z,system,2024-01-10T08:49:00Z,system
