ID,subject,account_ID,invoiceDate,dueDate,totalAmount,status_code,createdAt,createdBy,modifiedAt,modifiedBy
inv550e8400-e29b-41d4-a716-446655440022,Invoice 22,ac022,2024-01-26,2024-02-26,365800,DRAFT,2024-01-26T08:21:00Z,system,2024-01-26T08:21:00Z,system
inv550e8400-e29b-41d4-a716-446655440023,Invoice 23,ac023,2024-01-27,2024-02-27,377600,PAID,2024-01-27T08:22:00Z,system,2024-01-27T08:22:00Z,system
inv550e8400-e29b-41d4-a716-446655440024,Invoice 24,ac024,2024-01-28,2024-02-28,389400,OVERDUE,2024-01-28T08:23:00Z,system,2024-01-28T08:23:00Z,system
inv550e8400-e29b-41d4-a716-446655440025,Invoice 25,ac025,2024-01-29,2024-02-29,401200,SENT,2024-01-29T08:24:00Z,system,2024-01-29T08:24:00Z,system
inv550e8400-e29b-41d4-a716-446655440026,Invoice 26,ac026,2024-01-30,2024-03-01,407100,DRAFT,2024-01-30T08:25:00Z,system,2024-01-30T08:25:00Z,system
inv550e8400-e29b-41d4-a716-446655440027,Invoice 27,ac027,2024-01-31,2024-03-02,412000,PAID,2024-01-31T08:26:00Z,system,2024-01-31T08:26:00Z,system
inv550e8400-e29b-41d4-a716-446655440028,Invoice 28,ac028,2024-02-01,2024-03-03,418500,OVERDUE,2024-02-01T08:27:00Z,system,2024-02-01T08:27:00Z,system
inv550e8400-e29b-41d4-a716-446655440029,Invoice 29,ac029,2024-02-02,2024-03-04,425000,SENT,2024-02-02T08:28:00Z,system,2024-02-02T08:28:00Z,system
inv550e8400-e29b-41d4-a716-446655440030,Invoice 30,ac030,2024-02-03,2024-03-05,431500,DRAFT,2024-02-03T08:29:00Z,system,2024-02-03T08:29:00Z,system
inv550e8400-e29b-41d4-a716-446655440031,Invoice 31,ac031,2024-02-04,2024-03-06,438000,PAID,2024-02-04T08:30:00Z,system,2024-02-04T08:30:00Z,system
inv550e8400-e29b-41d4-a716-446655440032,Invoice 32,ac032,2024-02-05,2024-03-07,444500,OVERDUE,2024-02-05T08:31:00Z,system,2024-02-05T08:31:00Z,system
inv550e8400-e29b-41d4-a716-446655440033,Invoice 33,ac033,2024-02-06,2024-03-08,451000,SENT,2024-02-06T08:32:00Z,system,2024-02-06T08:32:00Z,system
inv550e8400-e29b-41d4-a716-446655440034,Invoice 34,ac034,2024-02-07,2024-03-09,457500,DRAFT,2024-02-07T08:33:00Z,system,2024-02-07T08:33:00Z,system
inv550e8400-e29b-41d4-a716-446655440035,Invoice 35,ac035,2024-02-08,2024-03-10,464000,PAID,2024-02-08T08:34:00Z,system,2024-02-08T08:34:00Z,system
inv550e8400-e29b-41d4-a716-446655440036,Invoice 36,ac036,2024-02-09,2024-03-11,470500,OVERDUE,2024-02-09T08:35:00Z,system,2024-02-09T08:35:00Z,system
inv550e8400-e29b-41d4-a716-446655440037,Invoice 37,ac037,2024-02-10,2024-03-12,477000,SENT,2024-02-10T08:36:00Z,system,2024-02-10T08:36:00Z,system
inv550e8400-e29b-41d4-a716-446655440038,Invoice 38,ac038,2024-02-11,2024-03-13,483500,DRAFT,2024-02-11T08:37:00Z,system,2024-02-11T08:37:00Z,system
inv550e8400-e29b-41d4-a716-446655440039,Invoice 39,ac039,2024-02-12,2024-03-14,490000,PAID,2024-02-12T08:38:00Z,system,2024-02-12T08:38:00Z,system
inv550e8400-e29b-41d4-a716-446655440040,Invoice 40,ac040,2024-02-13,2024-03-15,496500,OVERDUE,2024-02-13T08:39:00Z,system,2024-02-13T08:39:00Z,system
inv550e8400-e29b-41d4-a716-446655440041,Invoice 41,ac041,2024-02-14,2024-03-16,503000,SENT,2024-02-14T08:40:00Z,system,2024-02-14T08:40:00Z,system
inv550e8400-e29b-41d4-a716-446655440042,Invoice 42,ac042,2024-02-15,2024-03-17,509500,DRAFT,2024-02-15T08:41:00Z,system,2024-02-15T08:41:00Z,system
inv550e8400-e29b-41d4-a716-446655440043,Invoice 43,ac043,2024-02-16,2024-03-18,516000,PAID,2024-02-16T08:42:00Z,system,2024-02-16T08:42:00Z,system
inv550e8400-e29b-41d4-a716-446655440044,Invoice 44,ac044,2024-02-17,2024-03-19,522500,OVERDUE,2024-02-17T08:43:00Z,system,2024-02-17T08:43:00Z,system
inv550e8400-e29b-41d4-a716-446655440045,Invoice 45,ac045,2024-02-18,2024-03-20,529000,SENT,2024-02-18T08:44:00Z,system,2024-02-18T08:44:00Z,system
inv550e8400-e29b-41d4-a716-446655440046,Invoice 46,ac046,2024-02-19,2024-03-21,535500,DRAFT,2024-02-19T08:45:00Z,system,2024-02-19T08:45:00Z,system
inv550e8400-e29b-41d4-a716-446655440047,Invoice 47,ac047,2024-02-20,2024-03-22,542000,PAID,2024-02-20T08:46:00Z,system,2024-02-20T08:46:00Z,system
inv550e8400-e29b-41d4-a716-446655440048,Invoice 48,ac048,2024-02-21,2024-03-23,548500,OVERDUE,2024-02-21T08:47:00Z,system,2024-02-21T08:47:00Z,system
inv550e8400-e29b-41d4-a716-446655440049,Invoice 49,ac049,2024-02-22,2024-03-24,555000,SENT,2024-02-22T08:48:00Z,system,2024-02-22T08:48:00Z,system
inv550e8400-e29b-41d4-a716-446655440050,Invoice 50,ac050,2024-02-23,2024-03-25,561500,DRAFT,2024-02-23T08:49:00Z,system,2024-02-23T08:49:00Z,system
