ID,campaigns_ID,lead_ID,contact_ID,memberStatus_code,createdAt,createdBy,modifiedAt,modifiedBy
cm70e8400-e29b-41d4-a716-446655440024,cp60e8400-e29b-41d4-a716-446655440024,c10e8400-e29b-41d4-a716-446655440024,,RESPONDED,2024-01-06T08:23:00Z,system,2024-01-06T08:23:00Z,system
cm70e8400-e29b-41d4-a716-446655440025,cp60e8400-e29b-41d4-a716-446655440025,,c30e8400-e29b-41d4-a716-446655440025,SENT,2024-01-06T08:24:00Z,system,2024-01-06T08:24:00Z,system
cm70e8400-e29b-41d4-a716-446655440026,cp60e8400-e29b-41d4-a716-446655440026,c10e8400-e29b-41d4-a716-446655440026,,OPEN,2024-01-06T08:25:00Z,system,2024-01-06T08:25:00Z,system
cm70e8400-e29b-41d4-a716-446655440027,cp60e8400-e29b-41d4-a716-446655440027,,c30e8400-e29b-41d4-a716-446655440027,RESPONDED,2024-01-06T08:26:00Z,system,2024-01-06T08:26:00Z,system
cm70e8400-e29b-41d4-a716-446655440028,cp60e8400-e29b-41d4-a716-446655440028,c10e8400-e29b-41d4-a716-446655440028,,SENT,2024-01-06T08:27:00Z,system,2024-01-06T08:27:00Z,system
cm70e8400-e29b-41d4-a716-446655440029,cp60e8400-e29b-41d4-a716-446655440029,,c30e8400-e29b-41d4-a716-446655440029,OPEN,2024-01-06T08:28:00Z,system,2024-01-06T08:28:00Z,system
cm70e8400-e29b-41d4-a716-446655440030,cp60e8400-e29b-41d4-a716-446655440030,c10e8400-e29b-41d4-a716-446655440030,,RESPONDED,2024-01-06T08:29:00Z,system,2024-01-06T08:29:00Z,system
cm70e8400-e29b-41d4-a716-446655440031,cp60e8400-e29b-41d4-a716-446655440031,,c30e8400-e29b-41d4-a716-446655440031,SENT,2024-01-06T08:30:00Z,system,2024-01-06T08:30:00Z,system
cm70e8400-e29b-41d4-a716-446655440032,cp60e8400-e29b-41d4-a716-446655440032,c10e8400-e29b-41d4-a716-446655440032,,OPEN,2024-01-06T08:31:00Z,system,2024-01-06T08:31:00Z,system
cm70e8400-e29b-41d4-a716-446655440033,cp60e8400-e29b-41d4-a716-446655440033,,c30e8400-e29b-41d4-a716-446655440033,RESPONDED,2024-01-06T08:32:00Z,system,2024-01-06T08:32:00Z,system
cm70e8400-e29b-41d4-a716-446655440034,cp60e8400-e29b-41d4-a716-446655440034,c10e8400-e29b-41d4-a716-446655440034,,SENT,2024-01-06T08:33:00Z,system,2024-01-06T08:33:00Z,system
cm70e8400-e29b-41d4-a716-446655440035,cp60e8400-e29b-41d4-a716-446655440035,,c30e8400-e29b-41d4-a716-446655440035,OPEN,2024-01-06T08:34:00Z,system,2024-01-06T08:34:00Z,system
cm70e8400-e29b-41d4-a716-446655440036,cp60e8400-e29b-41d4-a716-446655440036,c10e8400-e29b-41d4-a716-446655440036,,RESPONDED,2024-01-06T08:35:00Z,system,2024-01-06T08:35:00Z,system
cm70e8400-e29b-41d4-a716-446655440037,cp60e8400-e29b-41d4-a716-446655440037,,c30e8400-e29b-41d4-a716-446655440037,SENT,2024-01-06T08:36:00Z,system,2024-01-06T08:36:00Z,system
cm70e8400-e29b-41d4-a716-446655440038,cp60e8400-e29b-41d4-a716-446655440038,c10e8400-e29b-41d4-a716-446655440038,,OPEN,2024-01-06T08:37:00Z,system,2024-01-06T08:37:00Z,system
cm70e8400-e29b-41d4-a716-446655440039,cp60e8400-e29b-41d4-a716-446655440039,,c30e8400-e29b-41d4-a716-446655440039,RESPONDED,2024-01-06T08:38:00Z,system,2024-01-06T08:38:00Z,system
cm70e8400-e29b-41d4-a716-446655440040,cp60e8400-e29b-41d4-a716-446655440040,c10e8400-e29b-41d4-a716-446655440040,,SENT,2024-01-06T08:39:00Z,system,2024-01-06T08:39:00Z,system
cm70e8400-e29b-41d4-a716-446655440041,cp60e8400-e29b-41d4-a716-446655440041,,c30e8400-e29b-41d4-a716-446655440041,OPEN,2024-01-06T08:40:00Z,system,2024-01-06T08:40:00Z,system
cm70e8400-e29b-41d4-a716-446655440042,cp60e8400-e29b-41d4-a716-446655440042,c10e8400-e29b-41d4-a716-446655440042,,RESPONDED,2024-01-06T08:41:00Z,system,2024-01-06T08:41:00Z,system
cm70e8400-e29b-41d4-a716-446655440043,cp60e8400-e29b-41d4-a716-446655440043,,c30e8400-e29b-41d4-a716-446655440043,SENT,2024-01-06T08:42:00Z,system,2024-01-06T08:42:00Z,system
cm70e8400-e29b-41d4-a716-446655440044,cp60e8400-e29b-41d4-a716-446655440044,c10e8400-e29b-41d4-a716-446655440044,,OPEN,2024-01-06T08:43:00Z,system,2024-01-06T08:43:00Z,system
cm70e8400-e29b-41d4-a716-446655440045,cp60e8400-e29b-41d4-a716-446655440045,,c30e8400-e29b-41d4-a716-446655440045,RESPONDED,2024-01-06T08:44:00Z,system,2024-01-06T08:44:00Z,system
cm70e8400-e29b-41d4-a716-446655440046,cp60e8400-e29b-41d4-a716-446655440046,c10e8400-e29b-41d4-a716-446655440046,,SENT,2024-01-06T08:45:00Z,system,2024-01-06T08:45:00Z,system
cm70e8400-e29b-41d4-a716-446655440047,cp60e8400-e29b-41d4-a716-446655440047,,c30e8400-e29b-41d4-a716-446655440047,OPEN,2024-01-06T08:46:00Z,system,2024-01-06T08:46:00Z,system
cm70e8400-e29b-41d4-a716-446655440048,cp60e8400-e29b-41d4-a716-446655440048,c10e8400-e29b-41d4-a716-446655440048,,RESPONDED,2024-01-06T08:47:00Z,system,2024-01-06T08:47:00Z,system
cm70e8400-e29b-41d4-a716-446655440049,cp60e8400-e29b-41d4-a716-446655440049,,c30e8400-e29b-41d4-a716-446655440049,SENT,2024-01-06T08:48:00Z,system,2024-01-06T08:48:00Z,system
cm70e8400-e29b-41d4-a716-446655440050,cp60e8400-e29b-41d4-a716-446655440050,c10e8400-e29b-41d4-a716-446655440050,,OPEN,2024-01-06T08:49:00Z,system,2024-01-06T08:49:00Z,system
