ID,accountName,website,phone,industry,annualRevenue,billingAddress,shippingAddress,owner_ID,createdAt,createdBy,modifiedAt,modifiedBy
a20e8400-e29b-41d4-a716-446655440011,Lambda Education,www.lambdaedu.com,900100011,Education,1250000.00,Pune MH India,Pune MH India,880e8400-e29b-41d4-a716-446655440011,2024-01-11T08:10:00Z,system,2024-01-11T08:10:00Z,system
a20e8400-e29b-41d4-a716-446655440012,Mu Softwares,www.musoft.com,900100012,IT,4800000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440012,2024-01-11T08:11:00Z,system,2024-01-11T08:11:00Z,system
a20e8400-e29b-41d4-a716-446655440013,Nu Services,www.nuservices.com,900100013,Consulting,2100000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440013,2024-01-11T08:12:00Z,system,2024-01-11T08:12:00Z,system
a20e8400-e29b-41d4-a716-446655440014,Xi Systems,www.xisystems.com,900100014,IT,3600000.00,Hyderabad TS India,Hyderabad TS India,880e8400-e29b-41d4-a716-446655440014,2024-01-11T08:13:00Z,system,2024-01-11T08:13:00Z,system
a20e8400-e29b-41d4-a716-446655440015,Omicron Retail,www.omicronretail.com,900100015,Retail,1950000.00,Jaipur RJ India,Jaipur RJ India,880e8400-e29b-41d4-a716-446655440015,2024-01-11T08:14:00Z,system,2024-01-11T08:14:00Z,system
a20e8400-e29b-41d4-a716-446655440016,Phi Finance,www.phifinance.com,900100016,Finance,5200000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440016,2024-01-11T08:15:00Z,system,2024-01-11T08:15:00Z,system
a20e8400-e29b-41d4-a716-446655440017,Chi Healthcare,www.chihealth.com,900100017,Healthcare,2850000.00,Chennai TN India,Chennai TN India,880e8400-e29b-41d4-a716-446655440017,2024-01-11T08:16:00Z,system,2024-01-11T08:16:00Z,system
a20e8400-e29b-41d4-a716-446655440018,Psi Tech,www.psitech.com,900100018,IT,4100000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440018,2024-01-11T08:17:00Z,system,2024-01-11T08:17:00Z,system
a20e8400-e29b-41d4-a716-446655440019,Omega Consulting,www.omegaconsulting.com,900100019,Consulting,2300000.00,Delhi India,Delhi India,880e8400-e29b-41d4-a716-446655440019,2024-01-11T08:18:00Z,system,2024-01-11T08:18:00Z,system
a20e8400-e29b-41d4-a716-446655440020,Sigma Manufacturing,www.sigmanufacturing.com,900100020,Manufacturing,7800000.00,Coimbatore TN India,Coimbatore TN India,880e8400-e29b-41d4-a716-446655440020,2024-01-11T08:19:00Z,system,2024-01-11T08:19:00Z,system
a20e8400-e29b-41d4-a716-446655440021,Tau Systems,www.tausystems.com,900100021,IT,2550000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440021,2024-01-11T08:20:00Z,system,2024-01-11T08:20:00Z,system
a20e8400-e29b-41d4-a716-446655440022,Upsilon Education,www.upsilonedu.com,900100022,Education,1450000.00,Pune MH India,Pune MH India,880e8400-e29b-41d4-a716-446655440022,2024-01-11T08:21:00Z,system,2024-01-11T08:21:00Z,system
a20e8400-e29b-41d4-a716-446655440023,Phoenix Manufacturing,www.phoenixmfg.com,900100023,Manufacturing,8600000.00,Indore MP India,Indore MP India,880e8400-e29b-41d4-a716-446655440023,2024-01-11T08:22:00Z,system,2024-01-11T08:22:00Z,system
a20e8400-e29b-41d4-a716-446655440024,Orion IT Services,www.orionit.com,900100024,IT,3350000.00,Noida UP India,Noida UP India,880e8400-e29b-41d4-a716-446655440024,2024-01-11T08:23:00Z,system,2024-01-11T08:23:00Z,system
a20e8400-e29b-41d4-a716-446655440025,Vega Consulting,www.vegaconsulting.com,900100025,Consulting,1950000.00,Chandigarh India,Chandigarh India,880e8400-e29b-41d4-a716-446655440025,2024-01-11T08:24:00Z,system,2024-01-11T08:24:00Z,system
a20e8400-e29b-41d4-a716-446655440026,Aquila Finance,www.aquilafinance.com,900100026,Finance,5900000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440026,2024-01-11T08:25:00Z,system,2024-01-11T08:25:00Z,system
a20e8400-e29b-41d4-a716-446655440027,Helios Energy,www.heliosenergy.com,900100027,Energy,9200000.00,Ahmedabad GJ India,Ahmedabad GJ India,880e8400-e29b-41d4-a716-446655440027,2024-01-11T08:26:00Z,system,2024-01-11T08:26:00Z,system
a20e8400-e29b-41d4-a716-446655440028,Nova Technologies,www.novatech.com,900100028,IT,3700000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440028,2024-01-11T08:27:00Z,system,2024-01-11T08:27:00Z,system
a20e8400-e29b-41d4-a716-446655440029,Atlas Logistics,www.atlaslogistics.com,900100029,Logistics,6400000.00,Delhi India,Delhi India,880e8400-e29b-41d4-a716-446655440029,2024-01-11T08:28:00Z,system,2024-01-11T08:28:00Z,system
a20e8400-e29b-41d4-a716-446655440030,Pegasus Systems,www.pegasussys.com,900100030,IT,4550000.00,Hyderabad TS India,Hyderabad TS India,880e8400-e29b-41d4-a716-446655440030,2024-01-11T08:29:00Z,system,2024-01-11T08:29:00Z,system
a20e8400-e29b-41d4-a716-446655440031,Zenith Corp,www.zenithcorp.com,900100031,Manufacturing,8800000.00,Nagpur MH India,Nagpur MH India,880e8400-e29b-41d4-a716-446655440031,2024-01-11T08:30:00Z,system,2024-01-11T08:30:00Z,system
a20e8400-e29b-41d4-a716-446655440032,Vertex Consulting,www.vertexconsulting.com,900100032,Consulting,2600000.00,Gurgaon HR India,Gurgaon HR India,880e8400-e29b-41d4-a716-446655440032,2024-01-11T08:31:00Z,system,2024-01-11T08:31:00Z,system
a20e8400-e29b-41d4-a716-446655440033,Polaris Finance,www.polarisfinance.com,900100033,Finance,7250000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440033,2024-01-11T08:32:00Z,system,2024-01-11T08:32:00Z,system
a20e8400-e29b-41d4-a716-446655440034,Sirius IT,www.siriusit.com,900100034,IT,3950000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440034,2024-01-11T08:33:00Z,system,2024-01-11T08:33:00Z,system
a20e8400-e29b-41d4-a716-446655440035,Andromeda Healthcare,www.andromedahealth.com,900100035,Healthcare,3100000.00,Kochi KL India,Kochi KL India,880e8400-e29b-41d4-a716-446655440035,2024-01-11T08:34:00Z,system,2024-01-11T08:34:00Z,system
a20e8400-e29b-41d4-a716-446655440036,Celestial Solutions,www.celestialsolutions.com,900100036,IT,2850000.00,Trivandrum KL India,Trivandrum KL India,880e8400-e29b-41d4-a716-446655440036,2024-01-11T08:35:00Z,system,2024-01-11T08:35:00Z,system
a20e8400-e29b-41d4-a716-446655440037,Orbit Manufacturing,www.orbitmfg.com,900100037,Manufacturing,9600000.00,Surat GJ India,Surat GJ India,880e8400-e29b-41d4-a716-446655440037,2024-01-11T08:36:00Z,system,2024-01-11T08:36:00Z,system
a20e8400-e29b-41d4-a716-446655440038,Lyra Consulting,www.lyraconsulting.com,900100038,Consulting,2450000.00,Kolkata WB India,Kolkata WB India,880e8400-e29b-41d4-a716-446655440038,2024-01-11T08:37:00Z,system,2024-01-11T08:37:00Z,system
a20e8400-e29b-41d4-a716-446655440039,Crux Technologies,www.cruxtech.com,900100039,IT,4150000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440039,2024-01-11T08:38:00Z,system,2024-01-11T08:38:00Z,system
a20e8400-e29b-41d4-a716-446655440040,Matrix Systems,www.matrixsys.com,900100040,IT,5050000.00,Hyderabad TS India,Hyderabad TS India,880e8400-e29b-41d4-a716-446655440040,2024-01-11T08:39:00Z,system,2024-01-11T08:39:00Z,system
a20e8400-e29b-41d4-a716-446655440041,Aurora Energy,www.auroraenergy.com,900100041,Energy,10200000.00,Chennai TN India,Chennai TN India,880e8400-e29b-41d4-a716-446655440041,2024-01-11T08:40:00Z,system,2024-01-11T08:40:00Z,system
a20e8400-e29b-41d4-a716-446655440042,Vortex Engineering,www.vortexengg.com,900100042,Manufacturing,8700000.00,Faridabad HR India,Faridabad HR India,880e8400-e29b-41d4-a716-446655440042,2024-01-11T08:41:00Z,system,2024-01-11T08:41:00Z,system
a20e8400-e29b-41d4-a716-446655440043,Stratos Cloud,www.stratoscloud.com,900100043,IT,4300000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440043,2024-01-11T08:42:00Z,system,2024-01-11T08:42:00Z,system
a20e8400-e29b-41d4-a716-446655440044,Keystone Finance,www.keystonefinance.com,900100044,Finance,6900000.00,Mumbai MH India,Mumbai MH India,880e8400-e29b-41d4-a716-446655440044,2024-01-11T08:43:00Z,system,2024-01-11T08:43:00Z,system
a20e8400-e29b-41d4-a716-446655440045,BluePeak Consulting,www.bluepeak.com,900100045,Consulting,2150000.00,Pune MH India,Pune MH India,880e8400-e29b-41d4-a716-446655440045,2024-01-11T08:44:00Z,system,2024-01-11T08:44:00Z,system
a20e8400-e29b-41d4-a716-446655440046,CloudNine IT,www.cloudnineit.com,900100046,IT,5600000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440046,2024-01-11T08:45:00Z,system,2024-01-11T08:45:00Z,system
a20e8400-e29b-41d4-a716-446655440047,GreenField Agro,www.greenfieldagro.com,900100047,Agriculture,3250000.00,Nashik MH India,Nashik MH India,880e8400-e29b-41d4-a716-446655440047,2024-01-11T08:46:00Z,system,2024-01-11T08:46:00Z,system
a20e8400-e29b-41d4-a716-446655440048,IronWorks Ltd,www.ironworks.com,900100048,Manufacturing,9900000.00,Jamshedpur JH India,Jamshedpur JH India,880e8400-e29b-41d4-a716-446655440048,2024-01-11T08:47:00Z,system,2024-01-11T08:47:00Z,system
a20e8400-e29b-41d4-a716-446655440049,SilverLine Finance,www.silverlinefinance.com,900100049,Finance,6100000.00,Indore MP India,Indore MP India,880e8400-e29b-41d4-a716-446655440049,2024-01-11T08:48:00Z,system,2024-01-11T08:48:00Z,system
a20e8400-e29b-41d4-a716-446655440050,NextGen Systems,www.nextgensys.com,900100050,IT,7200000.00,Bangalore KA India,Bangalore KA India,880e8400-e29b-41d4-a716-446655440050,2024-01-11T08:49:00Z,system,2024-01-11T08:49:00Z,system
