ID,subject,account_ID,deal_ID,totalAmount,status_code,createdAt,createdBy,modifiedAt,modifiedBy
so550e8400-e29b-41d4-a716-446655440029,Sales Order 29,ac029,dl029,425000,OPEN,2024-01-02T08:28:00Z,system,2024-01-02T08:28:00Z,system
so550e8400-e29b-41d4-a716-446655440030,Sales Order 30,ac030,dl030,431500,PROCESSING,2024-01-02T08:29:00Z,system,2024-01-02T08:29:00Z,system
so550e8400-e29b-41d4-a716-446655440031,Sales Order 31,ac031,dl031,438000,COMPLETED,2024-01-02T08:30:00Z,system,2024-01-02T08:30:00Z,system
so550e8400-e29b-41d4-a716-446655440032,Sales Order 32,ac032,dl032,444500,CANCELLED,2024-01-02T08:31:00Z,system,2024-01-02T08:31:00Z,system
so550e8400-e29b-41d4-a716-446655440033,Sales Order 33,ac033,dl033,451000,OPEN,2024-01-02T08:32:00Z,system,2024-01-02T08:32:00Z,system
so550e8400-e29b-41d4-a716-446655440034,Sales Order 34,ac034,dl034,457500,PROCESSING,2024-01-02T08:33:00Z,system,2024-01-02T08:33:00Z,system
so550e8400-e29b-41d4-a716-446655440035,Sales Order 35,ac035,dl035,464000,COMPLETED,2024-01-02T08:34:00Z,system,2024-01-02T08:34:00Z,system
so550e8400-e29b-41d4-a716-446655440036,Sales Order 36,ac036,dl036,470500,CANCELLED,2024-01-02T08:35:00Z,system,2024-01-02T08:35:00Z,system
so550e8400-e29b-41d4-a716-446655440037,Sales Order 37,ac037,dl037,477000,OPEN,2024-01-02T08:36:00Z,system,2024-01-02T08:36:00Z,system
so550e8400-e29b-41d4-a716-446655440038,Sales Order 38,ac038,dl038,483500,PROCESSING,2024-01-02T08:37:00Z,system,2024-01-02T08:37:00Z,system
so550e8400-e29b-41d4-a716-446655440039,Sales Order 39,ac039,dl039,490000,COMPLETED,2024-01-02T08:38:00Z,system,2024-01-02T08:38:00Z,system
so550e8400-e29b-41d4-a716-446655440040,Sales Order 40,ac040,dl040,496500,CANCELLED,2024-01-02T08:39:00Z,system,2024-01-02T08:39:00Z,system
so550e8400-e29b-41d4-a716-446655440041,Sales Order 41,ac041,dl041,503000,OPEN,2024-01-02T08:40:00Z,system,2024-01-02T08:40:00Z,system
so550e8400-e29b-41d4-a716-446655440042,Sales Order 42,ac042,dl042,509500,PROCESSING,2024-01-02T08:41:00Z,system,2024-01-02T08:41:00Z,system
so550e8400-e29b-41d4-a716-446655440043,Sales Order 43,ac043,dl043,516000,COMPLETED,2024-01-02T08:42:00Z,system,2024-01-02T08:42:00Z,system
so550e8400-e29b-41d4-a716-446655440044,Sales Order 44,ac044,dl044,522500,CANCELLED,2024-01-02T08:43:00Z,system,2024-01-02T08:43:00Z,system
so550e8400-e29b-41d4-a716-446655440045,Sales Order 45,ac045,dl045,529000,OPEN,2024-01-02T08:44:00Z,system,2024-01-02T08:44:00Z,system
so550e8400-e29b-41d4-a716-446655440046,Sales Order 46,ac046,dl046,535500,PROCESSING,2024-01-02T08:45:00Z,system,2024-01-02T08:45:00Z,system
so550e8400-e29b-41d4-a716-446655440047,Sales Order 47,ac047,dl047,542000,COMPLETED,2024-01-02T08:46:00Z,system,2024-01-02T08:46:00Z,system
so550e8400-e29b-41d4-a716-446655440048,Sales Order 48,ac048,dl048,548500,CANCELLED,2024-01-02T08:47:00Z,system,2024-01-02T08:47:00Z,system
so550e8400-e29b-41d4-a716-446655440049,Sales Order 49,ac049,dl049,555000,OPEN,2024-01-02T08:48:00Z,system,2024-01-02T08:48:00Z,system
so550e8400-e29b-41d4-a716-446655440050,Sales Order 50,ac050,dl050,561500,PROCESSING,2024-01-02T08:49:00Z,system,2024-01-02T08:49:00Z,system
